sheet,name,type,legal,year,amount_mio
PIT,Classified monuments,Tax reduction,Art. 145^36,2026,0.08
CIT,Regional compensation for loss of income in the event of public works,Exemption,Art. 67quinquies,2023,0.06
PIT,Social liability pursuant to the unitary statute,Exemption,Art. 67quater,2026,0.05
EIWT,non-resident sportsmen younger than 26 years old,EIWT measure,Art. 275^6,2024,0.05
EIWT,Education of employees,EIWT measure,Art. 275^12,2024,0.04
PIT,Tax credit for transport costs,Tax credit,,2026,0.01
PIT,LEA,Tax reduction,Art. 145^21,2026,0.01
PIT,Additional deduction for mortgage interests,Tax reduction,Art. 145^45,2026,0.01
PIT,Additional deduction for mortgage interests,Tax reduction,Art. 145^45,2026,0.01
PIT,Additional deduction for mortgage interests,Tax reduction,Art. 145^45,2026,0.01
PIT,Exemption of lump sum crisis premiums for laid-off workers,Exemption,"Art. 38, §1, alinéa 1, 26°",2026,0.0
PIT,LEA,Tax reduction,Art. 145^21,2026,0.0
PIT,Service vouchers,Tax reduction,Art. 145^21,2026,0.0
PIT,"Additional staff SME's, export staff e.a",Exemption,Art. 67,2026,0.0
PIT,Low-rent dwelling houses,Reduced rate,Art. 145^30,2026,0.0
PIT,Classified monuments,Tax reduction,Art. 145^36,2026,0.0
PIT,"Private ""Privak/Pricaf"" capital loss",Tax reduction,Art. 145^26/1,2026,0.0
PIT,Acquiring new shares of companies that have seen their sales significantly reduced by the COVID-19 pandemic,Tax reduction,Art. 145^27,2026,0.0
PIT,Legal Protection Insurance,Tax reduction,Art. 145^49,2026,0.0
CIT,Capital gains on sea-going ships,Exemption,Art. 122 van de Programmawet van 2 augustus 2002,2023,0.0
CIT,Deduction for venture capital,Deduction of taxable income,Art. 205bis t.e.m. 205novies,2023,0.0
EXC,Gas oil used as heating fuel,Reduced rate,"Art. 419, e), iii) en f), iii) en art. 420, § 5",2024,0.0
EXC,"Manufacture, development, testing and maintenance of aircraft and ships",Exemption,"Art. 429, § 2, e)",2024,0.0
PIT,Employee equity participation or employee participation in the profits and entreprise results,Tax reduction,"Art. 38, §1, 15°",2026,-8.65
